video_id,title,channel,views,likes,link
vczr0WuYK9g,Calisthenics for Beginners | In Depth Step-by-Step Guide to Building Strength and Muscle,Leo Wang,5788562,319956,https://www.youtube.com/watch?v=vczr0WuYK9g
1mlN0yuxoLE,"Calisthenics for Complete Beginners (Tips, Exercise Form, Programming)",yvguo,5649123,330467,https://www.youtube.com/watch?v=1mlN0yuxoLE
lo792RZ245Y,5 Calisthenics Skills Beginners Can Learn at Home (No Equipment),Ashton Fitness,5462206,240039,https://www.youtube.com/watch?v=lo792RZ245Y
geUKI-2uWaY,BEGINNER CALISTHENICS WORKOUT,Meli,4174799,198243,https://www.youtube.com/watch?v=geUKI-2uWaY
BeGUXwZmATQ,All Planche Progressions from 0 to Full,Vitaly Pavlenko,3303909,118207,https://www.youtube.com/watch?v=BeGUXwZmATQ
WhLialqwJDM,Skills that are easier than they look #calisthenics,Wan Aesthenix,3280175,215054,https://www.youtube.com/watch?v=WhLialqwJDM
TKYZTbyQQHY,Top 10 Rules of Calisthenics (FOLLOW OR FAIL),FitnessFAQs,3258964,96252,https://www.youtube.com/watch?v=TKYZTbyQQHY
kdB-UJg3s-Q,First what you should learn in Calisthenics | Crow Pose,Andry Strong,3205262,0,https://www.youtube.com/watch?v=kdB-UJg3s-Q
hByjG7mymdw,Pull-Ups LVL 1-10 (How To Progress Faster),CHRIS HERIA,2787819,91878,https://www.youtube.com/watch?v=hByjG7mymdw
_iYvlSMgUGE,HOW TO MUSCLE UP - THE BEST WAY,CHRIS HERIA,2738874,80064,https://www.youtube.com/watch?v=_iYvlSMgUGE
